Qty,Ref,Part Number,DigiKey,Description,Footprint
1,,PCBCart,NA,"76mm x 90mm, black, 8-day, with stencil",
2,"C1, C2",Taiyo Yuden LMK212BJ106KG-T,587-1300-1-ND,CAP CER 10UF 10V X5R 0805,CAP-0805
1,L1,Samsung CIG22L4R7MNE,1276-6213-1-ND,FIXED IND 4.7UH 1.1A 110 MOHM,IND-1008
1,U1,TI TPS61222DCKR,296-39435-1-ND,IC REG BOOST 5V 0.2A SYNC SC70-6,6-TSSOP
1,Y1,Abracon ABLS-16.000MHZ-B4-T,535-10226-2-ND,CRYSTAL 16.0000MHZ 18PF SMD,HC49/US
1,U2,Atmel ATMEGA328PB-AU,ATMEGA328PB-AU-ND,IC MCU 8BIT 32KB FLASH 32TQFP,32TQFP
3,"C3, C4, C5",Samsung CL10B104KO8NNNC,1276-1005-1-ND,CAP CER 0.1UF 16V X7R 0603,CAP-0603
1,R1,Samsung RC1608F103CS,1276-3485-1-ND,RES SMD 10K OHM 1% 1/10W 0603,RES-0603
2,"C6, C7",AVX 06035A220JAT2A,478-1167-1-ND,CAP CER 22PF 50V C0G/NP0 0603,CAP-0603
8,D1-D8,Lite-On LTST-C150GKT,160-1169-1-ND,LED GREEN CLEAR 1206 SMD,LED-1206
1,BT1, Keystone 2466,36-2466-ND,HOLDER BATTERY 1CELL AAA PC MNT,PTH
